Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Unemployment rate,Inflation rate,GDP,Target,Unnamed: 25,Unnamed: 26
1.0,1.0,1.0,9670.0,1.0,1.0,139.0,1.0,38.0,19.0,5.0,7.0,130.6,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,13.9,,0.79,Graduate,,
1.0,,1.0,9500.0,1.0,1.0,136.0,1.0,19.0,38.0,9.0,,,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,12.7,3.7,-1.7,Graduate,,
1.0,1.0,2.0,9853.0,1.0,1.0,133.0,1.0,19.0,37.0,,9.0,130.2,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,,3.7,-1.7,Dropout,,
1.0,53.0,1.0,9254.0,1.0,42.0,110.0,1.0,1.0,1.0,4.0,7.0,111.8,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,8.9,1.4,3.51,Graduate,,
,,1.0,9085.0,1.0,1.0,149.0,1.0,38.0,37.0,5.0,,137.1,1.0,0.0,0.0,,,1.0,18.0,0.0,10.8,1.4,1.74,Graduate,,
1.0,1.0,1.0,9773.0,1.0,1.0,127.0,1.0,19.0,37.0,9.0,,120.7,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,15.5,2.8,-4.06,Dropout,,
1.0,18.0,1.0,9238.0,1.0,1.0,137.0,1.0,19.0,38.0,5.0,,137.4,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,10.8,1.4,,Enrolled,,
1.0,17.0,2.0,,1.0,1.0,,1.0,19.0,1.0,5.0,4.0,127.3,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,15.5,2.8,-4.06,Graduate,,
1.0,1.0,1.0,,1.0,,137.0,1.0,3.0,19.0,3.0,5.0,136.3,1.0,0.0,,1.0,0.0,0.0,,0.0,10.8,1.4,1.74,Graduate,,
1.0,1.0,1.0,9853.0,1.0,1.0,140.0,1.0,19.0,19.0,,7.0,124.6,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,16.2,0.3,-0.92,Enrolled,,
1.0,1.0,3.0,171.0,1.0,1.0,122.0,1.0,1.0,1.0,9.0,8.0,120.3,0.0,0.0,,,0.0,1.0,21.0,0.0,11.1,0.6,2.02,,,
1.0,18.0,4.0,9556.0,1.0,1.0,127.0,1.0,,,4.0,7.0,121.8,,0.0,0.0,1.0,0.0,0.0,20.0,0.0,12.7,3.7,-1.7,Enrolled,,
1.0,1.0,,9500.0,1.0,1.0,,1.0,19.0,19.0,1.0,1.0,125.5,1.0,0.0,0.0,,,0.0,18.0,0.0,12.7,3.7,-1.7,Graduate,,
1.0,,4.0,9670.0,1.0,1.0,125.0,1.0,1.0,38.0,4.0,7.0,114.9,1.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,11.1,0.6,2.02,Graduate,,
1.0,1.0,1.0,9500.0,1.0,1.0,126.0,1.0,19.0,19.0,3.0,7.0,123.9,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,11.1,0.6,2.02,,,
1.0,,1.0,9238.0,1.0,1.0,151.0,1.0,19.0,38.0,9.0,9.0,157.0,1.0,0.0,1.0,1.0,0.0,1.0,,0.0,7.6,2.6,,Enrolled,,
1.0,17.0,2.0,9238.0,1.0,1.0,115.0,1.0,19.0,38.0,7.0,8.0,116.4,1.0,,0.0,1.0,0.0,0.0,21.0,0.0,16.2,0.3,-0.92,Graduate,,
1.0,1.0,1.0,9085.0,1.0,,138.0,1.0,19.0,,3.0,3.0,131.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,9.4,-0.8,-3.12,Enrolled,,
1.0,1.0,1.0,9147.0,1.0,1.0,135.0,,19.0,1.0,9.0,9.0,122.1,1.0,0.0,0.0,1.0,0.0,0.0,20.0,,16.2,0.3,-0.92,Graduate,,
1.0,17.0,2.0,9500.0,1.0,1.0,127.0,1.0,3.0,,1.0,10.0,118.8,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,16.2,0.3,-0.92,Enrolled,,
1.0,44.0,,9003.0,1.0,39.0,150.0,1.0,4.0,5.0,4.0,2.0,,0.0,,0.0,1.0,1.0,0.0,21.0,0.0,16.2,0.3,-0.92,Enrolled,,
1.0,,1.0,9070.0,1.0,1.0,125.0,1.0,42.0,3.0,125.0,124.0,130.0,1.0,0.0,0.0,1.0,1.0,0.0,20.0,,8.9,1.4,3.51,Graduate,,
1.0,1.0,1.0,9147.0,1.0,1.0,143.0,1.0,1.0,1.0,4.0,6.0,138.8,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,,1.4,3.51,Enrolled,,
1.0,18.0,1.0,8014.0,0.0,1.0,138.0,1.0,19.0,1.0,9.0,5.0,134.5,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,12.4,0.5,1.79,Graduate,,
1.0,1.0,1.0,9991.0,0.0,1.0,130.0,1.0,2.0,37.0,3.0,9.0,131.4,,,0.0,,1.0,0.0,34.0,0.0,13.9,-0.3,0.79,Graduate,,
1.0,39.0,1.0,33.0,1.0,1.0,130.0,1.0,38.0,37.0,9.0,6.0,102.5,0.0,0.0,1.0,0.0,1.0,0.0,37.0,,,1.4,3.51,Dropout,,
1.0,,1.0,9119.0,1.0,10.0,133.1,1.0,34.0,37.0,0.0,0.0,128.8,,0.0,0.0,1.0,1.0,0.0,43.0,0.0,7.6,2.6,0.32,Dropout,,
1.0,43.0,1.0,9147.0,1.0,1.0,140.0,1.0,37.0,37.0,6.0,6.0,122.9,0.0,0.0,0.0,,0.0,0.0,55.0,0.0,16.2,0.3,-0.92,Dropout,,
4.0,39.0,1.0,,0.0,1.0,120.0,1.0,19.0,,9.0,3.0,113.9,1.0,0.0,,,0.0,0.0,39.0,,7.6,2.6,0.32,Graduate,,
,44.0,1.0,9130.0,1.0,39.0,120.0,6.0,4.0,4.0,3.0,,120.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,,12.4,0.5,1.79,Dropout,,
1.0,1.0,5.0,9773.0,1.0,1.0,126.0,1.0,3.0,,2.0,2.0,121.1,,0.0,1.0,1.0,0.0,0.0,18.0,0.0,12.7,,-1.7,Dropout,,
1.0,1.0,2.0,9147.0,1.0,1.0,133.0,1.0,3.0,,,7.0,120.4,1.0,0.0,0.0,1.0,0.0,,22.0,0.0,8.9,1.4,,Graduate,,
1.0,1.0,,9500.0,1.0,1.0,103.0,1.0,1.0,3.0,,2.0,,1.0,1.0,0.0,1.0,0.0,0.0,22.0,0.0,11.1,0.6,2.02,Graduate,,
,17.0,1.0,9773.0,,,120.0,1.0,1.0,38.0,5.0,5.0,121.4,0.0,,0.0,0.0,0.0,0.0,20.0,0.0,12.4,0.5,1.79,Dropout,,
1.0,,1.0,9991.0,0.0,1.0,,1.0,37.0,,9.0,9.0,109.7,0.0,0.0,,1.0,0.0,,29.0,0.0,16.2,0.3,-0.92,Dropout,,
1.0,17.0,1.0,9991.0,0.0,1.0,154.0,1.0,38.0,38.0,,5.0,134.1,0.0,,0.0,1.0,,0.0,24.0,0.0,7.6,2.6,0.32,Enrolled,,
,,2.0,9238.0,1.0,1.0,130.0,1.0,19.0,19.0,,9.0,127.6,,,,1.0,0.0,0.0,18.0,0.0,11.1,0.6,,Graduate,,
1.0,17.0,6.0,9500.0,1.0,,132.0,1.0,37.0,19.0,7.0,7.0,132.4,1.0,,0.0,1.0,,1.0,22.0,0.0,11.1,0.6,2.02,,,
1.0,44.0,1.0,8014.0,0.0,39.0,,1.0,1.0,19.0,,9.0,133.4,0.0,0.0,0.0,1.0,0.0,1.0,21.0,0.0,12.4,,1.79,Graduate,,
1.0,1.0,1.0,,1.0,1.0,139.0,1.0,37.0,38.0,9.0,9.0,126.1,0.0,0.0,0.0,1.0,,1.0,19.0,0.0,12.7,3.7,-1.7,,,
1.0,,1.0,9254.0,1.0,1.0,130.0,,19.0,,9.0,7.0,113.5,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,12.4,,1.79,,,
1.0,1.0,1.0,9500.0,1.0,,139.0,1.0,37.0,38.0,6.0,6.0,121.3,1.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,9.4,-0.8,-3.12,Enrolled,,
1.0,1.0,1.0,9773.0,1.0,1.0,127.0,1.0,1.0,19.0,7.0,7.0,121.8,1.0,0.0,0.0,,0.0,1.0,20.0,0.0,9.4,-0.8,-3.12,Enrolled,,
1.0,1.0,3.0,9130.0,1.0,1.0,167.0,1.0,37.0,37.0,90.0,90.0,159.3,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,7.6,2.6,0.32,Graduate,,
1.0,39.0,1.0,9991.0,0.0,1.0,,1.0,38.0,38.0,9.0,9.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,9.4,-0.8,-3.12,Dropout,,
1.0,1.0,1.0,9500.0,1.0,1.0,,1.0,1.0,19.0,5.0,5.0,129.1,1.0,0.0,0.0,1.0,0.0,0.0,18.0,,,2.8,-4.06,Graduate,,
2.0,7.0,1.0,,1.0,3.0,130.0,1.0,1.0,3.0,4.0,3.0,130.0,0.0,0.0,0.0,1.0,,0.0,39.0,0.0,12.4,0.5,1.79,Dropout,,
,39.0,1.0,9130.0,1.0,40.0,129.0,,,3.0,,2.0,,,,0.0,1.0,0.0,0.0,27.0,0.0,12.4,0.5,1.79,Dropout,,
1.0,,,9500.0,1.0,1.0,141.0,1.0,38.0,38.0,7.0,10.0,139.8,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,9.4,-0.8,-3.12,,,
1.0,1.0,3.0,171.0,1.0,,125.0,1.0,38.0,37.0,4.0,9.0,115.2,1.0,0.0,0.0,1.0,0.0,0.0,,,,2.6,0.32,Enrolled,,
1.0,1.0,2.0,9500.0,1.0,1.0,125.0,1.0,19.0,19.0,9.0,9.0,114.9,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,16.2,0.3,-0.92,Graduate,,
1.0,44.0,1.0,9238.0,1.0,39.0,130.0,1.0,19.0,1.0,9.0,9.0,131.9,0.0,0.0,0.0,1.0,0.0,1.0,21.0,0.0,13.9,-0.3,0.79,Graduate,,
1.0,17.0,3.0,171.0,1.0,,133.0,1.0,1.0,37.0,4.0,7.0,126.0,1.0,0.0,0.0,1.0,1.0,1.0,19.0,0.0,10.8,,1.74,Enrolled,,
1.0,,1.0,9070.0,1.0,1.0,127.0,1.0,,1.0,3.0,4.0,130.2,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,10.8,,1.74,Enrolled,,
1.0,43.0,1.0,9070.0,1.0,1.0,116.0,1.0,1.0,1.0,3.0,3.0,120.9,0.0,,0.0,1.0,,0.0,24.0,0.0,12.7,3.7,-1.7,Enrolled,,
4.0,42.0,1.0,,1.0,19.0,133.1,1.0,1.0,1.0,5.0,5.0,126.0,,0.0,0.0,1.0,1.0,0.0,29.0,0.0,13.9,-0.3,0.79,Dropout,,
1.0,1.0,3.0,,1.0,1.0,139.0,1.0,19.0,19.0,5.0,3.0,128.2,,,0.0,1.0,1.0,,19.0,0.0,10.8,1.4,1.74,Graduate,,
1.0,,1.0,9003.0,1.0,39.0,130.0,1.0,19.0,37.0,9.0,9.0,,,0.0,0.0,1.0,1.0,0.0,23.0,0.0,8.9,1.4,3.51,Graduate,,
1.0,1.0,3.0,9147.0,1.0,1.0,125.0,1.0,1.0,38.0,,7.0,120.1,0.0,0.0,1.0,1.0,1.0,0.0,19.0,0.0,16.2,,-0.92,Dropout,,
1.0,39.0,1.0,9254.0,1.0,1.0,160.0,1.0,19.0,37.0,7.0,10.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,26.0,0.0,12.7,3.7,-1.7,Enrolled,,
1.0,17.0,1.0,9147.0,1.0,1.0,148.0,1.0,38.0,37.0,5.0,5.0,134.0,0.0,0.0,0.0,,1.0,0.0,18.0,0.0,7.6,2.6,0.32,Enrolled,,
1.0,17.0,1.0,9500.0,1.0,1.0,150.0,1.0,37.0,19.0,8.0,4.0,130.8,0.0,,,1.0,1.0,,24.0,0.0,13.9,,0.79,Graduate,,
1.0,1.0,1.0,171.0,1.0,1.0,141.0,1.0,19.0,,5.0,10.0,135.8,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,15.5,2.8,-4.06,,,
1.0,17.0,4.0,9254.0,1.0,1.0,118.0,1.0,38.0,37.0,5.0,7.0,111.7,1.0,0.0,0.0,1.0,1.0,0.0,18.0,,12.4,0.5,1.79,Dropout,,
1.0,1.0,2.0,9773.0,,1.0,142.0,1.0,,38.0,9.0,9.0,132.9,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,10.8,,1.74,Graduate,,
1.0,17.0,3.0,,1.0,1.0,,,19.0,19.0,4.0,7.0,115.5,,0.0,1.0,1.0,1.0,0.0,18.0,0.0,10.8,1.4,1.74,Dropout,,
1.0,18.0,4.0,,1.0,1.0,,1.0,19.0,37.0,7.0,7.0,106.0,1.0,0.0,0.0,1.0,1.0,1.0,21.0,0.0,9.4,-0.8,-3.12,Dropout,,
1.0,17.0,4.0,9773.0,1.0,1.0,121.0,1.0,1.0,19.0,9.0,,120.3,1.0,0.0,1.0,1.0,1.0,1.0,19.0,0.0,8.9,,3.51,Graduate,,
,17.0,4.0,9500.0,1.0,1.0,150.0,1.0,38.0,37.0,9.0,9.0,130.8,0.0,0.0,0.0,,1.0,,22.0,0.0,16.2,0.3,-0.92,Graduate,,
2.0,,1.0,,0.0,1.0,120.0,1.0,37.0,37.0,9.0,,117.0,,0.0,0.0,1.0,1.0,0.0,33.0,0.0,10.8,1.4,,Graduate,,
1.0,1.0,6.0,9853.0,1.0,1.0,114.0,,19.0,19.0,9.0,9.0,110.2,1.0,0.0,0.0,1.0,1.0,0.0,20.0,,10.8,1.4,1.74,Dropout,,
1.0,39.0,1.0,9991.0,0.0,2.0,140.0,1.0,3.0,,2.0,2.0,155.7,1.0,0.0,,1.0,1.0,0.0,35.0,0.0,,1.4,1.74,Dropout,,
,39.0,1.0,9003.0,1.0,4.0,160.0,,3.0,3.0,4.0,2.0,180.4,0.0,0.0,1.0,,1.0,0.0,24.0,0.0,12.4,0.5,1.79,Dropout,,
1.0,17.0,1.0,9254.0,1.0,1.0,120.0,1.0,19.0,19.0,4.0,4.0,125.5,0.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,12.7,3.7,-1.7,Enrolled,,
2.0,39.0,1.0,8014.0,0.0,1.0,130.0,1.0,37.0,37.0,9.0,6.0,110.0,1.0,,,1.0,,0.0,,0.0,9.4,-0.8,-3.12,Graduate,,
1.0,42.0,1.0,,1.0,1.0,160.0,1.0,37.0,38.0,9.0,7.0,,1.0,0.0,0.0,1.0,0.0,1.0,22.0,0.0,10.8,1.4,1.74,Graduate,,
1.0,39.0,1.0,9670.0,1.0,1.0,120.0,1.0,1.0,19.0,4.0,5.0,100.0,0.0,0.0,,1.0,0.0,1.0,,0.0,9.4,-0.8,-3.12,Graduate,,
1.0,17.0,1.0,9070.0,1.0,1.0,124.0,1.0,,38.0,4.0,0.0,117.6,1.0,0.0,,1.0,1.0,0.0,20.0,0.0,7.6,2.6,0.32,Graduate,,
1.0,1.0,6.0,9147.0,1.0,1.0,143.0,1.0,38.0,37.0,9.0,9.0,128.7,1.0,0.0,0.0,1.0,1.0,0.0,23.0,0.0,11.1,0.6,2.02,Enrolled,,
1.0,43.0,2.0,9119.0,1.0,1.0,115.0,1.0,38.0,19.0,9.0,6.0,,1.0,0.0,1.0,1.0,1.0,0.0,18.0,0.0,15.5,2.8,-4.06,Enrolled,,
1.0,39.0,1.0,9500.0,1.0,1.0,133.1,1.0,1.0,1.0,,10.0,100.8,0.0,0.0,0.0,1.0,1.0,0.0,24.0,0.0,13.9,-0.3,,Dropout,,
1.0,17.0,2.0,9773.0,,1.0,133.1,41.0,19.0,1.0,9.0,9.0,105.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,8.9,1.4,3.51,Graduate,,
1.0,15.0,1.0,9130.0,1.0,1.0,133.1,41.0,1.0,1.0,4.0,4.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,1.0,8.9,1.4,3.51,Dropout,,
2.0,39.0,1.0,9853.0,,10.0,133.1,1.0,,34.0,,0.0,115.5,0.0,,0.0,1.0,0.0,0.0,39.0,0.0,7.6,2.6,,Dropout,,
2.0,39.0,1.0,,0.0,1.0,133.1,1.0,37.0,19.0,,9.0,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,12.7,3.7,,,,
1.0,15.0,1.0,9119.0,1.0,1.0,130.0,26.0,38.0,3.0,9.0,2.0,137.0,1.0,0.0,0.0,1.0,1.0,0.0,19.0,1.0,13.9,-0.3,,Enrolled,,
1.0,1.0,5.0,,1.0,1.0,135.0,1.0,37.0,1.0,5.0,5.0,124.9,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,8.9,1.4,3.51,Graduate,,
1.0,1.0,5.0,9500.0,1.0,1.0,132.0,1.0,37.0,,7.0,7.0,120.3,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,12.4,0.5,1.79,Graduate,,
1.0,1.0,1.0,,1.0,1.0,135.0,1.0,1.0,,9.0,1.0,134.3,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,12.7,3.7,-1.7,Enrolled,,
1.0,1.0,4.0,9500.0,1.0,1.0,115.0,1.0,,3.0,2.0,2.0,111.5,1.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,13.9,,0.79,Dropout,,
1.0,53.0,1.0,9085.0,1.0,42.0,130.0,1.0,38.0,38.0,9.0,9.0,128.8,0.0,0.0,,1.0,0.0,0.0,21.0,0.0,8.9,1.4,3.51,Dropout,,
1.0,1.0,4.0,171.0,1.0,1.0,133.1,1.0,1.0,1.0,9.0,10.0,110.0,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,16.2,0.3,-0.92,Graduate,,
2.0,39.0,1.0,8014.0,0.0,1.0,130.0,1.0,37.0,37.0,6.0,5.0,113.5,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,9.4,-0.8,-3.12,Dropout,,
4.0,39.0,1.0,,1.0,12.0,133.1,1.0,37.0,37.0,9.0,6.0,160.0,0.0,0.0,0.0,1.0,0.0,0.0,43.0,0.0,,,-4.06,Graduate,,
1.0,18.0,1.0,9853.0,1.0,1.0,123.0,1.0,19.0,19.0,9.0,7.0,117.4,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,,0.6,2.02,Dropout,,
1.0,51.0,1.0,,1.0,1.0,130.0,,3.0,1.0,,8.0,122.2,0.0,0.0,1.0,1.0,,0.0,20.0,,11.1,0.6,2.02,Graduate,,
1.0,1.0,2.0,9238.0,1.0,1.0,,,37.0,38.0,4.0,7.0,,1.0,0.0,0.0,1.0,0.0,,19.0,0.0,16.2,0.3,-0.92,Dropout,,
1.0,1.0,,9085.0,1.0,1.0,113.0,1.0,,,4.0,4.0,106.7,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,15.5,2.8,-4.06,Dropout,,
1.0,1.0,5.0,9500.0,1.0,1.0,111.0,1.0,3.0,4.0,4.0,,108.2,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,12.4,0.5,1.79,Dropout,,
,17.0,,9853.0,1.0,,133.1,1.0,19.0,1.0,9.0,3.0,,1.0,0.0,0.0,1.0,0.0,0.0,20.0,,16.2,0.3,-0.92,Enrolled,,
1.0,1.0,1.0,9238.0,1.0,1.0,142.0,1.0,37.0,37.0,6.0,7.0,136.1,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,13.9,-0.3,0.79,Graduate,,
1.0,,2.0,9147.0,1.0,1.0,123.0,1.0,1.0,38.0,4.0,7.0,115.3,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,8.9,1.4,3.51,,,
1.0,1.0,,9085.0,1.0,1.0,,1.0,19.0,19.0,9.0,9.0,139.8,,0.0,0.0,1.0,0.0,0.0,19.0,0.0,10.8,1.4,1.74,Graduate,,
,1.0,3.0,9773.0,1.0,1.0,158.0,1.0,,38.0,4.0,7.0,157.0,1.0,0.0,,1.0,0.0,0.0,18.0,,10.8,1.4,1.74,Graduate,,
1.0,17.0,2.0,9500.0,1.0,1.0,122.0,1.0,37.0,37.0,9.0,9.0,131.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,,2.6,0.32,Dropout,,
,,1.0,,1.0,1.0,,1.0,38.0,38.0,9.0,5.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,13.9,-0.3,0.79,Enrolled,,
1.0,17.0,1.0,9238.0,1.0,1.0,154.0,1.0,19.0,37.0,9.0,7.0,140.4,1.0,0.0,0.0,,,1.0,,0.0,7.6,2.6,,Enrolled,,
,17.0,1.0,9147.0,1.0,1.0,120.0,1.0,19.0,19.0,3.0,,113.4,,0.0,0.0,1.0,0.0,0.0,20.0,0.0,12.4,0.5,1.79,,,
1.0,1.0,2.0,,1.0,,140.0,1.0,37.0,38.0,9.0,7.0,137.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,9.4,-0.8,-3.12,,,
1.0,1.0,1.0,9147.0,1.0,1.0,127.0,1.0,2.0,19.0,4.0,5.0,,0.0,0.0,0.0,1.0,0.0,0.0,18.0,,11.1,0.6,2.02,Graduate,,
1.0,17.0,1.0,9254.0,1.0,1.0,133.1,1.0,1.0,,4.0,5.0,131.0,1.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,9.4,-0.8,-3.12,Dropout,,
1.0,1.0,,9147.0,1.0,1.0,120.0,1.0,19.0,19.0,9.0,7.0,118.6,1.0,0.0,,1.0,0.0,0.0,19.0,0.0,,0.3,-0.92,,,
,1.0,1.0,171.0,1.0,1.0,137.0,1.0,3.0,19.0,2.0,9.0,122.3,0.0,,0.0,1.0,0.0,0.0,19.0,0.0,10.8,1.4,1.74,Dropout,,
1.0,1.0,1.0,9670.0,1.0,1.0,131.0,1.0,38.0,38.0,9.0,9.0,127.9,,0.0,0.0,1.0,,1.0,19.0,0.0,9.4,-0.8,-3.12,Graduate,,
1.0,1.0,1.0,9085.0,1.0,1.0,130.0,1.0,19.0,38.0,4.0,7.0,121.3,1.0,0.0,0.0,1.0,0.0,,19.0,0.0,15.5,2.8,-4.06,Graduate,,
1.0,17.0,6.0,9556.0,1.0,1.0,122.0,1.0,1.0,1.0,4.0,5.0,117.1,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,13.9,-0.3,0.79,Dropout,,
1.0,44.0,1.0,9085.0,1.0,39.0,160.0,,37.0,37.0,9.0,9.0,160.0,1.0,,0.0,1.0,0.0,0.0,20.0,0.0,12.4,0.5,1.79,Graduate,,
,1.0,1.0,9853.0,,1.0,146.0,1.0,19.0,38.0,9.0,,145.3,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,9.4,-0.8,-3.12,Enrolled,,
1.0,17.0,3.0,9238.0,1.0,1.0,131.0,,,39.0,5.0,3.0,122.6,1.0,,0.0,,0.0,0.0,18.0,0.0,12.4,0.5,1.79,Graduate,,
,17.0,6.0,9500.0,1.0,1.0,132.0,1.0,1.0,37.0,8.0,9.0,,1.0,0.0,,1.0,0.0,0.0,,0.0,12.4,,1.79,Graduate,,
1.0,1.0,3.0,9500.0,1.0,1.0,138.0,1.0,,19.0,,8.0,124.9,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,13.9,-0.3,0.79,,,
1.0,,2.0,9070.0,1.0,1.0,,1.0,37.0,37.0,9.0,9.0,,,0.0,0.0,,0.0,0.0,18.0,0.0,7.6,2.6,0.32,,,
1.0,1.0,4.0,9147.0,1.0,1.0,,1.0,,19.0,4.0,8.0,120.1,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,8.9,1.4,3.51,Graduate,,
1.0,17.0,6.0,9500.0,1.0,,148.0,1.0,1.0,19.0,3.0,3.0,131.7,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,13.9,,0.79,Dropout,,
1.0,43.0,1.0,9238.0,1.0,1.0,130.0,1.0,38.0,37.0,9.0,7.0,133.2,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,7.6,2.6,0.32,Graduate,,
1.0,1.0,1.0,9670.0,,1.0,117.0,1.0,1.0,38.0,3.0,9.0,109.3,0.0,,1.0,0.0,0.0,1.0,19.0,0.0,12.4,0.5,1.79,,,
1.0,17.0,1.0,9670.0,1.0,1.0,120.0,,19.0,19.0,5.0,5.0,,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,7.6,2.6,0.32,Graduate,,
,1.0,,9773.0,1.0,1.0,,1.0,1.0,1.0,141.0,175.0,157.9,0.0,0.0,1.0,1.0,0.0,1.0,18.0,0.0,8.9,1.4,3.51,Graduate,,
1.0,1.0,2.0,9500.0,1.0,1.0,117.0,,19.0,1.0,,7.0,112.1,0.0,0.0,0.0,1.0,0.0,1.0,20.0,0.0,11.1,0.6,2.02,Enrolled,,
1.0,18.0,1.0,9500.0,1.0,1.0,178.0,1.0,19.0,1.0,,8.0,174.7,0.0,0.0,0.0,1.0,0.0,0.0,18.0,,13.9,-0.3,0.79,Graduate,,
